,CVE ID,mapping_type,attack_id,attack_name
0,CVE-2023-40044,secondary_impact,T1202,Indirect Command Execution
1,CVE-2023-40044,primary_impact,T1071.002,File Transfer Protocols
2,CVE-2022-36804,primary_impact,T1059,Command and Scripting Interpreter
3,CVE-2021-26085,primary_impact,T1005,Data from Local System
4,CVE-2015-3043,primary_impact,T1499.004,Application or System Exploitation
5,CVE-2015-3043,exploitation_technique,T1204.002,Malicious File
6,CVE-2023-26369,primary_impact,T1203,Exploitation for Client Execution
7,CVE-2014-0546,primary_impact,T1068,Exploitation for Privilege Escalation
8,CVE-2010-2883,secondary_impact,T1059,Command and Scripting Interpreter
9,CVE-2010-2883,primary_impact,T1027,Obfuscated Files or Information
10,CVE-2023-21608,primary_impact,T1203,Exploitation for Client Execution
11,CVE-2023-26359,primary_impact,T1059,Command and Scripting Interpreter
12,CVE-2013-0629,secondary_impact,T1005,Data from Local System
13,CVE-2013-0629,primary_impact,T1202,Indirect Command Execution
14,CVE-2022-24086,secondary_impact,T1213,Data from Information Repositories
15,CVE-2022-24086,primary_impact,T1027,Obfuscated Files or Information
16,CVE-2014-7169,exploitation_technique,T1190,Exploit Public-Facing Application
17,CVE-2014-7169,exploitation_technique,T1133,External Remote Services
18,CVE-2014-7169,primary_impact,T1059.004,Unix Shell
19,CVE-2014-6271,exploitation_technique,T1190,Exploit Public-Facing Application
20,CVE-2014-6271,exploitation_technique,T1133,External Remote Services
21,CVE-2014-6271,primary_impact,T1059.004,Unix Shell
22,CVE-2021-21206,exploitation_technique,T1203,Exploitation for Client Execution
23,CVE-2021-21206,exploitation_technique,T1059.007,JavaScript
24,CVE-2021-30554,exploitation_technique,T1059.007,JavaScript
25,CVE-2021-30554,exploitation_technique,T1203,Exploitation for Client Execution
26,CVE-2021-37975,exploitation_technique,T1059.007,JavaScript
27,CVE-2021-37975,primary_impact,T1203,Exploitation for Client Execution
28,CVE-2021-21148,exploitation_technique,T1059.007,JavaScript
29,CVE-2021-21148,primary_impact,T1203,Exploitation for Client Execution
30,CVE-2021-21166,exploitation_technique,T1059.007,JavaScript
31,CVE-2021-21166,primary_impact,T1203,Exploitation for Client Execution
32,CVE-2024-38080,exploitation_technique,T1204.002,Malicious File
33,CVE-2022-47966,primary_impact,T1136.001,Local Account
34,CVE-2022-47966,primary_impact,T1068,Exploitation for Privilege Escalation
35,CVE-2021-29256,secondary_impact,T1005,Data from Local System
36,CVE-2021-29256,primary_impact,T1068,Exploitation for Privilege Escalation
37,CVE-2024-5274,primary_impact,T1203,Exploitation for Client Execution
38,CVE-2020-0688,primary_impact,T1114,Email Collection
39,CVE-2020-0688,exploitation_technique,T1190,Exploit Public-Facing Application
40,CVE-2020-1472,secondary_impact,T1133,External Remote Services
41,CVE-2021-21972,primary_impact,T1059,Command and Scripting Interpreter
42,CVE-2021-21972,exploitation_technique,T1190,Exploit Public-Facing Application
43,CVE-2021-27065,primary_impact,T1505.003,Web Shell
44,CVE-2021-27065,exploitation_technique,T1190,Exploit Public-Facing Application
45,CVE-2021-26858,primary_impact,T1505.003,Web Shell
46,CVE-2021-26858,exploitation_technique,T1190,Exploit Public-Facing Application
47,CVE-2021-26857,primary_impact,T1505.003,Web Shell
48,CVE-2021-26857,secondary_impact,T1133,External Remote Services
49,CVE-2021-26855,secondary_impact,T1005,Data from Local System
50,CVE-2021-26855,secondary_impact,T1505.003,Web Shell
51,CVE-2021-26855,primary_impact,T1090,Proxy
52,CVE-2021-26855,exploitation_technique,T1133,External Remote Services
53,CVE-2021-34473,secondary_impact,T1486,Data Encrypted for Impact
54,CVE-2021-34473,secondary_impact,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol
55,CVE-2021-34473,secondary_impact,T1136,Create Account
56,CVE-2021-34473,primary_impact,T1053.005,Scheduled Task
57,CVE-2021-34473,exploitation_technique,T1190,Exploit Public-Facing Application
58,CVE-2021-34523,exploitation_technique,T1190,Exploit Public-Facing Application
59,CVE-2021-40539,secondary_impact,T1573.001,Symmetric Cryptography
60,CVE-2021-40539,secondary_impact,T1560.001,Archive via Utility
61,CVE-2021-40539,secondary_impact,T1087.002,Domain Account
62,CVE-2021-40539,secondary_impact,T1070.004,File Deletion
63,CVE-2021-40539,secondary_impact,T1047,Windows Management Instrumentation
64,CVE-2021-40539,secondary_impact,T1003.003,NTDS
65,CVE-2021-40539,secondary_impact,T1136,Create Account
66,CVE-2021-40539,secondary_impact,T1218,System Binary Proxy Execution
67,CVE-2021-40539,secondary_impact,T1003,OS Credential Dumping
68,CVE-2021-40539,secondary_impact,T1140,Deobfuscate/Decode Files or Information
69,CVE-2021-40539,secondary_impact,T1027,Obfuscated Files or Information
70,CVE-2021-40539,primary_impact,T1505.003,Web Shell
71,CVE-2021-40539,exploitation_technique,T1190,Exploit Public-Facing Application
72,CVE-2021-44228,secondary_impact,T1486,Data Encrypted for Impact
73,CVE-2021-44228,secondary_impact,T1496,Resource Hijacking
74,CVE-2021-44228,secondary_impact,T1608.001,Upload Malware
75,CVE-2021-44228,secondary_impact,T1505.003,Web Shell
76,CVE-2021-44228,exploitation_technique,T1190,Exploit Public-Facing Application
77,CVE-2020-0688,secondary_impact,T1505.003,Web Shell
78,CVE-2020-0688,primary_impact,T1110,Brute Force
79,CVE-2020-1472,secondary_impact,T1087.002,Domain Account
80,CVE-2020-1472,primary_impact,T1021,Remote Services
81,CVE-2020-1472,exploitation_technique,T1110,Brute Force
82,CVE-2020-0787,primary_impact,T1059,Command and Scripting Interpreter
83,CVE-2020-0787,exploitation_technique,T1068,Exploitation for Privilege Escalation
84,CVE-2019-0604,primary_impact,T1041,Exfiltration Over C2 Channel
85,CVE-2019-0604,primary_impact,T1608.001,Upload Malware
86,CVE-2019-0604,secondary_impact,T1003,OS Credential Dumping
87,CVE-2019-0604,primary_impact,T1505.003,Web Shell
88,CVE-2019-0604,exploitation_technique,T1190,Exploit Public-Facing Application
89,CVE-2019-18935,primary_impact,T1041,Exfiltration Over C2 Channel
90,CVE-2019-18935,primary_impact,T1496,Resource Hijacking
91,CVE-2019-18935,primary_impact,T1505.003,Web Shell
92,CVE-2019-18935,exploitation_technique,T1190,Exploit Public-Facing Application
93,CVE-2017-11882,primary_impact,T1059,Command and Scripting Interpreter
94,CVE-2017-11882,exploitation_technique,T1566.001,Spearphishing Attachment
95,CVE-2020-15505,primary_impact,T1059,Command and Scripting Interpreter
96,CVE-2020-15505,exploitation_technique,T1190,Exploit Public-Facing Application
97,CVE-2020-5902,secondary_impact,T1003,OS Credential Dumping
98,CVE-2020-5902,secondary_impact,T1562.001,Disable or Modify Tools
99,CVE-2020-5902,secondary_impact,T1070.004,File Deletion
100,CVE-2020-5902,primary_impact,T1059,Command and Scripting Interpreter
101,CVE-2020-5902,exploitation_technique,T1133,External Remote Services
102,CVE-2019-11510,secondary_impact,T1083,File and Directory Discovery
103,CVE-2019-11510,secondary_impact,T1552.001,Credentials In Files
104,CVE-2019-11510,primary_impact,T1059,Command and Scripting Interpreter
105,CVE-2019-11510,exploitation_technique,T1133,External Remote Services
106,CVE-2019-19781,secondary_impact,T1083,File and Directory Discovery
107,CVE-2019-19781,primary_impact,T1059,Command and Scripting Interpreter
108,CVE-2019-19781,exploitation_technique,T1133,External Remote Services
109,CVE-2021-40539,secondary_impact,T1505.003,Web Shell
110,CVE-2018-13379,exploitation_technique,T1190,Exploit Public-Facing Application
111,CVE-2022-1388,exploitation_technique,T1548,Abuse Elevation Control Mechanism
112,CVE-2015-0313,exploitation_technique,T1189,Drive-by Compromise
113,CVE-2021-31207,primary_impact,T1565,Data Manipulation
114,CVE-2015-5119,secondary_impact,T1071.001,Web Protocols
115,CVE-2015-5119,secondary_impact,T1055.001,Dynamic-link Library Injection
116,CVE-2015-5119,primary_impact,T1105,Ingress Tool Transfer
117,CVE-2015-5119,exploitation_technique,T1203,Exploitation for Client Execution
118,CVE-2015-5119,exploitation_technique,T1204.001,Malicious Link
119,CVE-2015-5119,exploitation_technique,T1059.007,JavaScript
120,CVE-2015-5119,exploitation_technique,T1566.002,Spearphishing Link
121,CVE-2021-31207,exploitation_technique,T1548.002,Bypass User Account Control
122,CVE-2022-22954,primary_impact,T1505.003,Web Shell
123,CVE-2022-22960,exploitation_technique,T1222,File and Directory Permissions Modification
124,CVE-2024-5274,exploitation_technique,T1189,Drive-by Compromise
125,CVE-2022-22954,exploitation_technique,T1221,Template Injection
126,CVE-2012-0767,secondary_impact,T1114.002,Remote Email Collection
